source,target
Orla_mide,NA
BamBamUKlover,NA
jaaraag_,NA
WolfOnyx1361,NA
angelofbiebs1,NA
distractedu,NA
Ussyy____,NA
BeeSiriyakorn2,NA
Dondeyforyou,NA
BrightstarLove,NA
BreezyKirsten,NA
cat_duplicat,NA
BORAHAE_1999,nisaaaaBTS
itz_mazine_,NA
JbParul,NA
Cosa_Dolce,NA
nqobile_mahungu,NA
chukwuizu1992,NA
amblacqmike,NA
JbParul,NA
nanisczrs,NA
Fvckdjdne,NA
qwertyu6943,NA
thebieberflyy,NA
AlumBaeOfficial,NA
TheUrbanStoree,NA
dabaddielex_,NA
honey_sauce2020,NA
angelofbiebs1,NA
Cowboydada,NA
199_cz,NA
Michell__Ell,NA
DijahMoon,NA
sunaina1023,NA
behcaa,NA
dianagenius_,NA
ErikManny2,NA
okt_ranking30,NA
iam_instigator,NA
A_Nimiyoe,NA
lawaloladimeji_,NA
Marvelonzo,NA
viccetti,NA
Isaxmon,NA
queendamilola95,NA
Lukxybea1,NA
saucy_rose_,NA
Talk2_lowell,NA
RealMibanti,NA
team_faisusquad,NA
Miss_Presidente,NA
JbParul,NA
sixteenurban,NA
Ovekhanya,NA
BrodaFemo,NA
lyp_ton,NA
LonerTeejah,NA
Mbarleigh__,NA
10_dreez,NA
lagosvibe_,NA
charonsita,NA
sofiasrmc,NA
slckrikk,NA
justastropink,NA
Olivia96462258,NA
gotohelpme,NA
yhh0808,NA
_ChafikW_,NA
__Ladynash,NA
minhyxknxck,NA
justastropink,NA
fayith_,NA
OAPAwesome,NA
drewdemiselena,NA
AidenNsl,NA
chainofbizzle,NA
Ehsan_R1381,NA
goodwalwar1,NA
Ors_thinz,NA
MrIgbalode,NA
JbParul,NA
KidrauhlFtGomez,NA
mbulnono,convomf
cxrnelius1,NA
JbParul,NA
Magcinonke_,NA
chainofbizzle,NA
JbParul,NA
Mildsexyy,NA
JustinsRoomie,NA
Sabrinametz2,NA
Mansa_rbc,NA
Yusuf__Olalekan,NA
JbParul,NA
KusasiraJoan1,NA
AccessoriesbyC_,NA
ayo_olah,NA
mickechestda,NA
astrobiebs,NA
AlphaMoonbot,NA
JK_SANJU_7,NA
buzzinbiebs,NA
mjanxv,NA
justastropink,NA
jiiraff,NA
iftekharhussen,NA
Buzztin_Era,NA
chainofbizzle,NA
justin_stephani,NA
Speakikay,NA
JbParul,NA
HABITUALKATY,NA
bizzlesjustice,NA
JK_SANJU_7,NA
JK_SANJU_7,NA
JK_SANJU_7,NA
weakslauren,NA
cat_duplicat,NA
hairahmaa_,yaseenscomet
mochatay7,NA
MeadowSwann,NA
bxtterpjm,NA
valvaleriar,NA
bxtterpjm,NA
bxtterpjm,NA
JbParul,NA
auniinsyirah20,NA
Energia97play,NA
chainofbizzle,NA
JbParul,NA
chainofbizzle,RecordingAcad
mxrxjb,NA
mymansbiebs,NA
mariamo93819907,NA
JbParul,NA
JbParul,NA
Sangma_Sijin,NA
mayradoe,NA
ilianadel_,NA
HamdanSaad19,NA
mukuxntyal,NA
diorrbieber,NA
chainofbizzle,NA
JbParul,NA
sunaina1023,NA
mhdraziman,NA
Sangma_Sijin,NA
ChandeleurBing,NA
Sangma_Sijin,NA
letmebefine,NA
Sangma_Sijin,NA
JbParul,NA
RadioAMPS,NA
habituaIbey,NA
JbParul,NA
EllisseNoelle13,NA
K1ngradio_,NA
Sangma_Sijin,NA
chainofbizzle,NA
JxBoss_vg,StockLizardKing
bucinkpdanknct_,treasuremenfess
ishtarmacia,NA
MFMOOKK,NA
deserveyubieber,NA
CamiMVillanueva,NA
JbParul,NA
sarinaferlazzo,NA
fakexpctations,NA
Maryjoao5,NA
Bieberonform,NA
Longevity_Dan,NA
_N_i_k_i_ta_,NA
Djdjdkd31548047,NA
marshalthebest,NA
Maryjoao5,NA
coolebean,NA
Abelstinmet,NA
trapxLA,NA
sunaina1023,NA
xo_jailey,NA
BieberJournals,NA
_N_i_k_i_ta_,NA
beliebercoslada,NA
lizavovo,NA
carolinehyuga,NA
cat_duplicat,NA
JK_SANJU_7,NA
Mischief2135,NA
pamepadilla27,NA
leobunty,NA
givemybagelback,NA
Speakikay,NA
johaanamm,NA
euphoria3002,NA
Maryjoao5,NA
Rg_Gslvx,NA
sunaina1023,NA
JK_SANJU_7,NA
bxskbieber,NA
JbParul,NA
Dararendah,NA
PworldB,NA
JK_SANJU_7,NA
zelomine,NA
sunaina1023,NA
Hoo_Carez,NA
JbParul,NA
JenScharf_,NA
sheisbelieber,NA
vanestrrr,NA
heyvinylss,NA
szylle_,NA
mickechestda,NA
vanestrrr,NA
JbParul,NA
JbParul,NA
luigizaum,NA
JbParul,NA
mukuxntyal,NA
JbParul,NA
catchingbizzlle,NA
totalnawyjebka,NA
fannycgn,NA
JbParul,NA
bombelinek,NA
MochPrincess,NA
JustinsRoomie,spotify_data
ekow_Sarkcess,NA
bpjnlkm,NA
classichitradio,NA
chainofbizzle,NA
unstaebletpwk_,NA
exolrauhl,RecordingAcad
JbParul,NA
stanJbts,NA
chainofbizzle,NA
chainofbizzle,NA
heyitzsa12,NA
bangtan_army7_,NA
bxtterpjm,NA
aionocurls,NA
LarrytheLanger,_miked
cindavalos_,shezgotyouhigh
Angelus13527427,NA
biebshousejb_,NA
JbParul,NA
Ehsan_R1381,NA
sunaina1023,NA
drewstabIe,NA
swipswipswiper,NA
qassini,NA
cat_duplicat,NA
JbParul,NA
Leo_Of_Lagos,NA
exolrauhl,kchartsmaster
ghostofbieberr,NA
gaygayverygay1,basedvirgin
ghostofbieberr,NA
JbParul,NA
ghostofbieberr,NA
florame_niere,NA
JbParul,NA
cecilialeonc,NA
jdbmylife65,NA
JbParul,NA
martinaaadaniii,NA
SC0TTR0W,NA
annaxbw,NA
jdbmylife65,NA
nxcxnj,NA
JK_SANJU_7,NA
_florencianieto,NA
SaraozKaren,NA
defsjacky,NA
jdbmylife65,NA
JK_SANJU_7,NA
oreashimi,NA
actualmrsbieber,NA
_ksj004_,jj______k97
MartinaMcl,NA
OnFaaya,NA
dreadseraa,NA
sunaina1023,NA
mayfielld23,NA
luvrforbieber,NA
taekookerbiebs,NA
TRURADIO1804,NA
syhyey,NA
JoanaC__,NA
sunaina1023,NA
biebersbank,NA
abracadabrooks,NA
MartinaMcl,NA
tellmemayya,NA
KotaFuego,NA
whatthebeck44,NA
MartinaMcl,NA
sunaina1023,NA
rauhl_risya,NA
rauhl_risya,NA
rauhl_risya,NA
marii4diazz,NA
JbParul,NA
lonelyymuggle,NA
hermionesblair,NA
GetawayCarLFTV,NA
Big_Ace3,NA
noseasapx,NA
christeydelvan8,NA
lllara666,NA
BigPerkocet,NA
facumusic_,NA
Omoregie_f,NA
karntheai,NA
lallainaflorra,NA
KathrinJessel10,NA
04496wa,NA
bruh_its_judith,NA
coolebean,NA
buatbucincogan,JayleyBieber
heyitzsa12,NA
04496wa,NA
buatbucincogan,NA
amarillathai,NA
JesselKathrin,NA
JesselKathrin,NA
JesselKathrin,NA
JesselKathrin,NA
rimeldemiel_,NA
sprinkle_hoe,NA
j0dersoyrehot,NA
BieberKidrauhlx,NA
qlenfrl2072,NA
oIivebby,oIivebby
Damilarrr,NA
rinascherry,NA
houisbelieve,NA
rinascherry,NA
blvnchvrd,NA
Joansebas94,NA
Speakikay,NA
cam3nicole,NA
daarlinnggg999,NA
mohamed_jb7,NA
Jbnews_2,NA
daarlinnggg999,NA
newsradiodiver1,NA
CasuallyCruel28,NA
obceserce,NA
Djdjdkd31548047,NA
tumininubizzle,NA
Djdjdkd31548047,NA
karensinii,NA
Biebsthepopstar,NA
juliepetralia,NA
paaolaroomo,NA
quinmands,NA
lifetimepurpose,NA
JK_SANJU_7,NA
Justins_eyebrow,NA
JDB0830,NA
Diana_Dianaooo,NA
euphoria3002,NA
BreeLeann24,NA
justinarge,NA
gigifirstlove,DiorTear_
sun_btshypen7,NA
Cara_F_Bieber,NA
MartinaMcl,NA
AbbeyQoreeb,NA
Susan_Andre1,NA
diz152011,NA
JK_SANJU_7,NA
Justin63068395,NA
MartinaMcl,NA
sroxha,NA
sprinkle_hoe,NA
carlosromero599,NA
nectarinezone,NA
ingcst,NA
drewunstabIe,NA
cheerfulhoney23,NA
sofidelorriaga,NA
PlayboyBPAC,NA
thakhanti,NA
Estephanejoy07,NA
AitijyaD,NA
BrockMahi,NA
_kamaaaa,NA
florame_niere,NA
literaturesucks,taekookerbiebs
PlayboyBPAC,NA
Cilla_mena,NA
riamooyumemi,NA
mohamed_jb7,NA
bxtterpjm,NA
